event_id,event_title,event_type,date,prefecture,regulation,capacity,total_results
952737,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-12,埼玉県,スタンダード,64,16
952760,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-14,東京都,スタンダード,64,16
952761,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-15,千葉県,スタンダード,64,16
952762,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-15,千葉県,スタンダード,64,16
952763,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-15,千葉県,スタンダード,64,16
952764,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-15,東京都,スタンダード,64,8
952765,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-16,東京都,スタンダード,64,16
952766,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-16,東京都,スタンダード,64,16
952767,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-17,千葉県,スタンダード,64,16
952768,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-18,東京都,スタンダード,64,16
952769,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-19,東京都,スタンダード,64,16
952770,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-20,東京都,スタンダード,64,16
952771,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-20,東京都,スタンダード,64,16
952772,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-20,東京都,スタンダード,64,16
952773,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-20,東京都,スタンダード,64,16
952774,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-20,東京都,スタンダード,64,16
952775,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-21,千葉県,スタンダード,64,16
952776,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-21,千葉県,スタンダード,64,16
952777,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-21,千葉県,スタンダード,64,16
952778,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-21,東京都,スタンダード,64,16
952779,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-22,千葉県,スタンダード,64,16
952780,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-24,千葉県,スタンダード,64,16
952781,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-25,東京都,スタンダード,64,16
952782,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-26,東京都,スタンダード,64,16
952783,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-30,東京都,スタンダード,64,16
952784,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-02,東京都,スタンダード,64,16
952785,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-03,東京都,スタンダード,64,16
952786,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-04,東京都,スタンダード,64,16
952787,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-04,千葉県,スタンダード,64,16
952788,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-05,千葉県,スタンダード,64,16
952789,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-05,千葉県,スタンダード,64,16
952790,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-05,東京都,スタンダード,64,16
